SCHOOL_YEAR,STATE_NAME,LEAID,LEA_NAME,NCES_SCH,SCHOOL_NAME,DATA_GROUP_ID,NUMERIC_VALUE,TEXT_VALUE,SUBGROUP,CHARACTERISTICS
2020-2021,MISSOURI,2913170,GRANDVIEW R-II,291317000558,GRANDVIEW ELEM.,814,16,16,ALLSCH,
2020-2021,MISSOURI,2913170,GRANDVIEW R-II,291317002285,GRANDVIEW HIGH,814,38,38,ALLSCH,
2020-2021,MISSOURI,2913170,GRANDVIEW R-II,291317001490,GRANDVIEW MIDDLE,814,19,19,ALLSCH,
2021-2022,MISSOURI,2913170,GRANDVIEW R-II,291317000558,GRANDVIEW ELEM.,814,32,32,ALLSCH,
2021-2022,MISSOURI,2913170,GRANDVIEW R-II,291317002285,GRANDVIEW HIGH,814,68,68,ALLSCH,
2021-2022,MISSOURI,2913170,GRANDVIEW R-II,291317001490,GRANDVIEW MIDDLE,814,23,23,ALLSCH,
2022-2023,MISSOURI,2913170,GRANDVIEW R-II,291317000558,GRANDVIEW ELEM.,814,29,29,ALLSCH,
2022-2023,MISSOURI,2913170,GRANDVIEW R-II,291317002285,GRANDVIEW HIGH,814,56,56,ALLSCH,
2022-2023,MISSOURI,2913170,GRANDVIEW R-II,291317001490,GRANDVIEW MIDDLE,814,18,18,ALLSCH,
2022-2023,MISSOURI,2913170,GRANDVIEW R-II,291317003411,Missouri Virtual Academy,814,1,1,ALLSCH,
