SCHOOL_YEAR,STATE_NAME,LEAID,LEA_NAME,DATA_GROUP_ID,DENOMINATOR,NUMERATOR,TEXT_VALUE,NUMERIC_VALUE,SUBGROUP
2020-2021,MISSOURI,2910380,CRYSTAL CITY 47,814PCT,476,44,9.2%,9.2,ALLLEA
2020-2021,MISSOURI,2910500,DESOTO 73,814PCT,2453,258,10.5%,10.5,ALLLEA
2020-2021,MISSOURI,2914250,DUNKLIN R-V,814PCT,1551,242,15.6%,15.6,ALLLEA
2020-2021,MISSOURI,2912030,FESTUS R-VI,814PCT,3111,251,8.1%,8.1,ALLLEA
2020-2021,MISSOURI,2912300,FOX C-6,814PCT,10917,531,4.9%,4.9,ALLLEA
2020-2021,MISSOURI,2913170,GRANDVIEW R-II,814PCT,679,73,10.8%,10.8,ALLLEA
2020-2021,MISSOURI,2914430,HILLSBORO R-III,814PCT,3285,262,8.0%,8,ALLLEA
2020-2021,MISSOURI,2916230,JEFFERSON CO. R-VII,814PCT,993,89,9.0%,9,ALLLEA
2020-2021,MISSOURI,2922890,NORTHWEST R-I,814PCT,5962,495,8.3%,8.3,ALLLEA
2020-2021,MISSOURI,2929820,SUNRISE R-IX,814PCT,289,20,6.9%,6.9,ALLLEA
2020-2021,MISSOURI,2932100,WINDSOR C-1,814PCT,2871,2,0.1%,0.1,ALLLEA
2021-2022,MISSOURI,2910380,CRYSTAL CITY 47,814PCT,499,79,15.8%,15.8,ALLLEA
2021-2022,MISSOURI,2910500,DESOTO 73,814PCT,2413,460,19.1%,19.1,ALLLEA
2021-2022,MISSOURI,2914250,DUNKLIN R-V,814PCT,1574,423,26.9%,26.9,ALLLEA
2021-2022,MISSOURI,2912030,FESTUS R-VI,814PCT,3230,469,14.5%,14.5,ALLLEA
2021-2022,MISSOURI,2912300,FOX C-6 SCHOOL DISTRICT,814PCT,10768,2476,23.0%,23,ALLLEA
2021-2022,MISSOURI,2913170,GRANDVIEW R-II,814PCT,645,123,19.1%,19.1,ALLLEA
2021-2022,MISSOURI,2914430,HILLSBORO R-III,814PCT,3302,728,22.0%,22,ALLLEA
2021-2022,MISSOURI,2916230,JEFFERSON CO. R-VII,814PCT,1037,173,16.7%,16.7,ALLLEA
2021-2022,MISSOURI,2922890,NORTHWEST R-I,814PCT,5868,1399,23.8%,23.8,ALLLEA
2021-2022,MISSOURI,2929820,SUNRISE R-IX,814PCT,300,31,10.3%,10.3,ALLLEA
2021-2022,MISSOURI,2932100,WINDSOR C-1,814PCT,2850,528,18.5%,18.5,ALLLEA
2022-2023,MISSOURI,2910380,CRYSTAL CITY 47,814PCT,496,83,16.7%,16.7,ALLLEA
2022-2023,MISSOURI,2910500,DESOTO 73,814PCT,2366,482,20.4%,20.4,ALLLEA
2022-2023,MISSOURI,2914250,DUNKLIN R-V,814PCT,1559,381,24.4%,24.4,ALLLEA
2022-2023,MISSOURI,2912030,FESTUS R-VI,814PCT,3315,520,15.7%,15.7,ALLLEA
2022-2023,MISSOURI,2912300,FOX C-6,814PCT,10588,2070,19.6%,19.6,ALLLEA
2022-2023,MISSOURI,2913170,GRANDVIEW R-II,814PCT,2365,104,4.4%,4.4,ALLLEA
2022-2023,MISSOURI,2914430,HILLSBORO R-III,814PCT,3289,629,19.1%,19.1,ALLLEA
2022-2023,MISSOURI,2916230,JEFFERSON CO. R-VII,814PCT,1015,137,13.5%,13.5,ALLLEA
2022-2023,MISSOURI,2922890,NORTHWEST R-I,814PCT,5779,1318,22.8%,22.8,ALLLEA
2022-2023,MISSOURI,2929820,SUNRISE R-IX,814PCT,295,34,11.5%,11.5,ALLLEA
2022-2023,MISSOURI,2932100,WINDSOR C-1,814PCT,2828,448,15.8%,15.8,ALLLEA
