leaid,lea_name,ncessch,school_name,school_level,enrollment,free_lunch,reduced_price_lunch,frl_count,frl_rate_calc,virtual,source,ccd_year,retrieval_date
2910380,Crystal City 47,291038000339,CRYSTAL CITY ELEM.,1,318,142,18,160,0.503,0,Urban Institute Education Data Portal (mirror of NCES CCD),2022,2026-08-04
2910380,Crystal City 47,291038000340,CRYSTAL CITY HIGH,3,224,85,9,94,0.42,0,Urban Institute Education Data Portal (mirror of NCES CCD),2022,2026-08-04
2910500,Desoto 73,291050000347,ATHENA ELEM.,1,489,182,40,222,0.454,0,Urban Institute Education Data Portal (mirror of NCES CCD),2022,2026-08-04
2910500,Desoto 73,291050000349,DESOTO JR. HIGH,2,381,144,32,176,0.462,0,Urban Institute Education Data Portal (mirror of NCES CCD),2022,2026-08-04
2910500,Desoto 73,291050000350,DESOTO SR. HIGH,3,848,216,70,286,0.337,0,Urban Institute Education Data Portal (mirror of NCES CCD),2022,2026-08-04
2910500,Desoto 73,291050000351,VINELAND ELEM.,1,648,269,51,320,0.494,0,Urban Institute Education Data Portal (mirror of NCES CCD),2022,2026-08-04
2910500,Desoto 73,291050002993,EARLY CHILDHOOD CTR.,0,177,69,7,76,0.429,0,Urban Institute Education Data Portal (mirror of NCES CCD),2022,2026-08-04
2914250,Dunklin R-V,291425000639,HERCULANEUM HIGH,3,489,173,43,216,0.442,0,Urban Institute Education Data Portal (mirror of NCES CCD),2022,2026-08-04
2914250,Dunklin R-V,291425000641,PEVELY ELEM.,1,708,292,64,356,0.503,0,Urban Institute Education Data Portal (mirror of NCES CCD),2022,2026-08-04
2914250,Dunklin R-V,291425002399,SENN-THOMAS MIDDLE,2,362,141,32,173,0.478,0,Urban Institute Education Data Portal (mirror of NCES CCD),2022,2026-08-04
2914250,Dunklin R-V,291425003326,TAYLOR EARLY CHILDHOOD,0,26,16,7,23,0.885,0,Urban Institute Education Data Portal (mirror of NCES CCD),2022,2026-08-04
2912030,Festus R-VI,291203000479,FESTUS ELEM.,1,1039,301,72,373,0.359,0,Urban Institute Education Data Portal (mirror of NCES CCD),2022,2026-08-04
2912030,Festus R-VI,291203000481,FESTUS SR. HIGH,3,979,282,73,355,0.363,0,Urban Institute Education Data Portal (mirror of NCES CCD),2022,2026-08-04
2912030,Festus R-VI,291203002522,FESTUS MIDDLE,2,552,190,36,226,0.409,0,Urban Institute Education Data Portal (mirror of NCES CCD),2022,2026-08-04
2912030,Festus R-VI,291203002779,FESTUS INTERMEDIATE,2,745,232,66,298,0.4,0,Urban Institute Education Data Portal (mirror of NCES CCD),2022,2026-08-04
2912300,Fox C-6,291230000497,ANTONIA ELEM.,1,482,85,24,109,0.226,0,Urban Institute Education Data Portal (mirror of NCES CCD),2022,2026-08-04
2912300,Fox C-6,291230000498,CLYDE HAMRICK ELEM.,1,405,138,39,177,0.437,0,Urban Institute Education Data Portal (mirror of NCES CCD),2022,2026-08-04
2912300,Fox C-6,291230000499,FOX ELEM.,1,380,118,36,154,0.405,0,Urban Institute Education Data Portal (mirror of NCES CCD),2022,2026-08-04
2912300,Fox C-6,291230000500,FOX MIDDLE,2,632,174,40,214,0.339,0,Urban Institute Education Data Portal (mirror of NCES CCD),2022,2026-08-04
2912300,Fox C-6,291230000501,MERAMEC HEIGHTS ELEM.,1,425,193,28,221,0.52,0,Urban Institute Education Data Portal (mirror of NCES CCD),2022,2026-08-04
2912300,Fox C-6,291230000502,RIDGEWOOD MIDDLE,2,616,192,58,250,0.406,0,Urban Institute Education Data Portal (mirror of NCES CCD),2022,2026-08-04
2912300,Fox C-6,291230000503,ROCKPORT HEIGHTS ELEM.,1,400,94,22,116,0.29,0,Urban Institute Education Data Portal (mirror of NCES CCD),2022,2026-08-04
2912300,Fox C-6,291230000504,SECKMAN ELEM.,1,486,60,15,75,0.154,0,Urban Institute Education Data Portal (mirror of NCES CCD),2022,2026-08-04
